Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Afghanistan,AFG,Total,TOT,United States,USA,293,207,4832,30146,44893
Albania,ALB,Total,TOT,United States,USA,10047,10865,7963,5844,40555
Algeria,DZA,Total,TOT,United States,USA,322,533,4843,5577,11717
American Samoa,ASM,Total,TOT,United States,USA,2519,11528,9604,1870,16339
Andorra,AND,Total,TOT,United States,USA,440,3,1548,57,5
Angola,AGO,Total,TOT,United States,USA,141,316,1347,3194,8412
Anguilla,AIA,Total,TOT,United States,USA,147,3,438,815,417
Antigua and Barbuda,ATG,Total,TOT,United States,USA,3901,91,4533,13281,19151
Argentina,ARG,Total,TOT,United States,USA,17591,55325,77600,106364,133210
Armenia,ARM,Total,TOT,United States,USA,84201,69991,49945,32487,99985
Aruba,ABW,Total,TOT,United States,USA,743,17,3288,4108,2101
Australia,AUS,Total,TOT,United States,USA,23305,31783,46076,54050,74459
Austria,AUT,Total,TOT,United States,USA,317730,253310,155493,97915,72126
Azerbaijan,AZE,Total,TOT,United States,USA,45173,38390,48042,17434,33627
"Bahamas, The",BHS,Total,TOT,United States,USA,6776,158,17083,25867,30465
Bahrain,BHR,Total,TOT,United States,USA,50,40,926,1465,0
Bangladesh,BGD,Total,TOT,United States,USA,360,271,6317,23029,92655
Barbados,BRB,Total,TOT,United States,USA,12029,280,31809,45699,54282
Belarus,BLR,Total,TOT,United States,USA,46247,35508,19723,17767,58949
Belgium,BEL,Total,TOT,United States,USA,52547,49050,42257,42029,41849
Belize,BLZ,Total,TOT,United States,USA,2979,10456,15982,34390,44013
Benin,BEN,Total,TOT,United States,USA,21,48,308,387,1282
Bermuda,BMU,Total,TOT,United States,USA,3697,87,14523,15471,15254
Bhutan,BTN,Total,TOT,United States,USA,130,108,2513,76,0
Bolivia,BOL,Total,TOT,United States,USA,2340,8903,16256,34385,53658
Bosnia and Herzegovina,BIH,Total,TOT,United States,USA,50710,53277,49268,43775,125844
Botswana,BWA,Total,TOT,United States,USA,40,89,914,386,2383
Brazil,BRA,Total,TOT,United States,USA,14821,34273,49875,100962,225330
Brunei Darussalam,BRN,Total,TOT,United States,USA,46,38,881,555,65
Bulgaria,BGR,Total,TOT,United States,USA,8601,10196,9439,9507,36019
Burkina Faso,BFA,Total,TOT,United States,USA,22,49,426,287,1311
Burundi,BDI,Total,TOT,United States,USA,22,50,470,256,1333
Cambodia,KHM,Total,TOT,United States,USA,1219,858,20024,127916,140684
Cameroon,CMR,Total,TOT,United States,USA,188,463,1882,4170,12885
Canada,CAN,Total,TOT,United States,USA,995660,964010,1001367,914902,950549
Cape Verde,CPV,Total,TOT,United States,USA,948,1387,12367,18313,27182
Cayman Islands,CYM,Total,TOT,United States,USA,357,8,1138,1979,1012
Central African Republic,CAF,Total,TOT,United States,USA,20,46,281,377,1213
Chad,TCD,Total,TOT,United States,USA,16,35,301,209,937
Channel Islands,CHI,Total,TOT,United States,USA,..,..,..,..,..
Chile,CHL,Total,TOT,United States,USA,6695,19695,42572,66317,85597
China,CHN,Total,TOT,United States,USA,105384,220531,320005,574049,1016412
Colombia,COL,Total,TOT,United States,USA,13898,82450,167474,323838,533019
Comoros,COM,Total,TOT,United States,USA,8,19,233,41,501
"Congo, Dem. Rep.",COD,Total,TOT,United States,USA,217,486,2367,4636,12960
"Congo, Rep.",COG,Total,TOT,United States,USA,27,60,350,522,1611
Cook Islands,COK,Total,TOT,United States,USA,2,6,173,35,226
Costa Rica,CRI,Total,TOT,United States,USA,5794,19697,34220,51520,76623
Cote d'Ivoire,CIV,Total,TOT,United States,USA,84,189,994,1728,5034
Croatia,HRV,Total,TOT,United States,USA,32940,34608,32004,28436,58970
Cuba,CUB,Total,TOT,United States,USA,85161,522875,682634,799972,894560
Cyprus,CYP,Total,TOT,United States,USA,5703,34,9884,10765,12121
Czech Republic,CZE,Total,TOT,United States,USA,193699,155326,124279,93336,73623
Denmark,DNK,Total,TOT,United States,USA,88780,72702,46154,41699,33156
Djibouti,DJI,Total,TOT,United States,USA,7,16,214,14,417
Dominica,DMA,Total,TOT,United States,USA,4489,105,3456,19530,17967
Dominican Republic,DOM,Total,TOT,United States,USA,13265,75310,188690,376328,706894
Ecuador,ECU,Total,TOT,United States,USA,8400,46789,99076,152738,302705
"Egypt, Arab Rep.",EGY,Total,TOT,United States,USA,8884,30520,52431,79861,118619
El Salvador,SLV,Total,TOT,United States,USA,7453,18548,105316,502329,827583
Equatorial Guinea,GNQ,Total,TOT,United States,USA,13,29,141,281,780
Eritrea,ERI,Total,TOT,United States,USA,345,694,2592,8526,17438
Estonia,EST,Total,TOT,United States,USA,27105,20815,22519,19596,11706
Ethiopia,ETH,Total,TOT,United States,USA,1415,2847,10583,34983,71578
Faeroe Islands,FRO,Total,TOT,United States,USA,8,0,0,28,0
Falkland Islands (Malvinas),FLK,Total,TOT,United States,USA,0,0,453,42,0
Fiji,FJI,Total,TOT,United States,USA,1053,1035,9367,17183,31505
Finland,FIN,Total,TOT,United States,USA,70558,53861,32529,24370,23608
France,FRA,Total,TOT,United States,USA,116814,124960,167205,171151,198061
French Guiana,GUF,Total,TOT,United States,USA,0,2,1,74,1
French Polynesia,PYF,Total,TOT,United States,USA,74,189,1011,1192,7709
Gabon,GAB,Total,TOT,United States,USA,7,16,2,228,429
"Gambia, The",GMB,Total,TOT,United States,USA,64,143,497,1561,3816
Georgia,GEO,Total,TOT,United States,USA,10882,8942,3823,4198,14757
Germany,DEU,Total,TOT,United States,USA,1035269,987519,1204599,1227752,1250815
Ghana,GHA,Total,TOT,United States,USA,1049,2496,9872,23957,68432
Gibraltar,GIB,Total,TOT,United States,USA,763,5,2085,690,8
Greece,GRC,Total,TOT,United States,USA,166588,209976,229757,195173,179950
Greenland,GRL,Total,TOT,United States,USA,66,2,1012,360,184
Grenada,GRD,Total,TOT,United States,USA,5533,129,8115,18106,27847
Guadeloupe,GLP,Total,TOT,United States,USA,318,7,341,1765,903
Guam,GUM,Total,TOT,United States,USA,16371,23465,31356,8274,47896
Guatemala,GTM,Total,TOT,United States,USA,6073,20482,72214,242451,489507
Guinea,GIN,Total,TOT,United States,USA,61,138,1113,881,3671
Guinea-Bissau,GNB,Total,TOT,United States,USA,8,18,213,54,488
Guyana,GUY,Total,TOT,United States,USA,268,2997,57637,129959,219060
Haiti,HTI,Total,TOT,United States,USA,5545,34977,104863,240037,435259
Honduras,HND,Total,TOT,United States,USA,7028,22561,42722,119088,288779
"Hong Kong SAR, China",HKG,Total,TOT,United States,USA,4766,3752,87572,159451,207845
Hungary,HUN,Total,TOT,United States,USA,256017,216934,156495,117943,93543
Iceland,ISL,Total,TOT,United States,USA,2922,3441,7036,9250,45
India,IND,Total,TOT,United States,USA,13910,69997,227684,494290,1041320
Indonesia,IDN,Total,TOT,United States,USA,1793,1420,33144,52665,79796
"Iran, Islamic Rep.",IRN,Total,TOT,United States,USA,7294,5761,134447,229109,294355
Iraq,IRQ,Total,TOT,United States,USA,1786,1420,33152,47753,93991
Ireland,IRL,Total,TOT,United States,USA,353621,297642,216471,186124,163136
Isle of Man,IMN,Total,TOT,United States,USA,..,..,..,..,..
Israel,ISR,Total,TOT,United States,USA,18761,46174,75666,100555,125896
Italy,ITA,Total,TOT,United States,USA,1312537,1193985,923820,667394,547833
Jamaica,JAM,Total,TOT,United States,USA,26710,83570,221818,363387,575845
Japan,JPN,Total,TOT,United States,USA,114981,160338,335683,448625,500527
Jordan,JOR,Total,TOT,United States,USA,1228,975,22763,34011,50422
Kazakhstan,KAZ,Total,TOT,United States,USA,3787,3112,1329,1458,1614
Kenya,KEN,Total,TOT,United States,USA,848,1734,9525,17873,43978
Kiribati,KIR,Total,TOT,United States,USA,61,159,228,1001,6471
"Korea, Dem. Rep.",PRK,Total,TOT,United States,USA,258,681,16492,6441,14607
"Korea, Rep.",KOR,Total,TOT,United States,USA,12902,58927,313404,693692,896982
Kosovo,XKX,Total,TOT,United States,USA,..,..,..,..,..
Kuwait,KWT,Total,TOT,United States,USA,277,217,5068,9772,22703
Kyrgyz Republic,KGZ,Total,TOT,United States,USA,761,632,417,293,325
Lao PDR,LAO,Total,TOT,United States,USA,3163,2393,55861,188630,213399
Latvia,LVA,Total,TOT,United States,USA,96715,74270,70923,65850,69779
Lebanon,LBN,Total,TOT,United States,USA,23394,29825,59509,99437,113215
Lesotho,LSO,Total,TOT,United States,USA,19,44,305,326,1163
Liberia,LBR,Total,TOT,United States,USA,577,1506,4379,14188,42949
Libya,LBY,Total,TOT,United States,USA,595,1334,11113,8210,35552
Liechtenstein,LIE,Total,TOT,United States,USA,974,6,3398,157,11
Lithuania,LTU,Total,TOT,United States,USA,112270,86216,89977,75070,77169
Luxembourg,LUX,Total,TOT,United States,USA,4554,4182,3658,2898,26
"Macao SAR, China",MAC,Total,TOT,United States,USA,169,133,3115,5203,0
"Macedonia, FYR",MKD,Total,TOT,United States,USA,11164,11729,10846,9637,26139
Madagascar,MDG,Total,TOT,United States,USA,59,132,968,943,3522
Malawi,MWI,Total,TOT,United States,USA,53,118,757,947,3144
Malaysia,MYS,Total,TOT,United States,USA,662,507,11824,34825,52623
Maldives,MDV,Total,TOT,United States,USA,28,23,537,0,0
Mali,MLI,Total,TOT,United States,USA,24,55,379,412,1459
Malta,MLT,Total,TOT,United States,USA,6229,38,11523,11044,68
Marshall Islands,MHL,Total,TOT,United States,USA,194,177,1773,3171,5161
Martinique,MTQ,Total,TOT,United States,USA,167,4,1148,920,471
Mauritania,MRT,Total,TOT,United States,USA,22,48,615,91,1290
Mauritius,MUS,Total,TOT,United States,USA,80,180,937,1656,4795
Mayotte,MYT,Total,TOT,United States,USA,0,0,0,0,1
Mexico,MEX,Total,TOT,United States,USA,610787,936424,2408502,4662233,9367910
"Micronesia, Fed. Sts.",FSM,Total,TOT,United States,USA,0,0,23,6,35
Moldova,MDA,Total,TOT,United States,USA,24689,18956,9121,9486,32759
Monaco,MCO,Total,TOT,United States,USA,388,2,1077,334,4
Mongolia,MNG,Total,TOT,United States,USA,7,6,129,101,0
Montenegro,MNE,Total,TOT,United States,USA,..,..,..,..,..
Montserrat,MSR,Total,TOT,United States,USA,669,16,1200,3714,1899
Morocco,MAR,Total,TOT,United States,USA,1257,1943,16363,24311,40177
Mozambique,MOZ,Total,TOT,United States,USA,66,147,732,1391,3927
Myanmar,MMR,Total,TOT,United States,USA,711,562,13120,21588,35623
Namibia,NAM,Total,TOT,United States,USA,23,51,228,503,1355
Naura,NRU,Total,TOT,United States,USA,5,13,7,85,548
Nepal,NPL,Total,TOT,United States,USA,75,59,1374,2521,12321
Netherlands,NLD,Total,TOT,United States,USA,123774,130939,115731,107769,106397
Netherlands Antilles,ANT,Total,TOT,United States,USA,740,17,45,4117,2106
New Caledonia,NCL,Total,TOT,United States,USA,12,30,156,188,1213
New Zealand,NZL,Total,TOT,United States,USA,6127,10650,15132,18826,26771
Nicaragua,NIC,Total,TOT,United States,USA,10215,19029,49468,181863,229386
Niger,NER,Total,TOT,United States,USA,103,230,3055,305,6133
Nigeria,NGA,Total,TOT,United States,USA,3141,5885,31976,69384,141571
Niue,NIU,Total,TOT,United States,USA,0,0,9,3,17
Norfolk Island,NFK,Total,TOT,United States,USA,2,4,280,24,152
Northern Mariana Islands,MNP,Total,TOT,United States,USA,295,266,2655,4811,7711
Norway,NOR,Total,TOT,United States,USA,159303,115124,70899,48649,38323
Oman,OMN,Total,TOT,United States,USA,20,16,366,662,0
Pakistan,PAK,Total,TOT,United States,USA,1970,8798,35058,92839,234081
Palau,PLW,Total,TOT,United States,USA,3807,921,1493,2664,9066
Panama,PAN,Total,TOT,United States,USA,13957,23657,92341,129412,146882
Papua New Guinea,PNG,Total,TOT,United States,USA,88,225,1120,1421,9189
Paraguay,PRY,Total,TOT,United States,USA,636,175,3815,7575,13715
Peru,PER,Total,TOT,United States,USA,7756,29305,67507,162190,285925
Philippines,PHL,Total,TOT,United States,USA,111801,246767,590421,1059379,1505820
Poland,POL,Total,TOT,United States,USA,780612,648999,454279,421431,490599
Portugal,PRT,Total,TOT,United States,USA,84417,142208,229168,235097,212370
Puerto Rico,PRI,Total,TOT,United States,USA,657479,941566,1106839,1437657,1455095
Qatar,QAT,Total,TOT,United States,USA,60,48,1118,1158,0
Refugees,zzz,Total,TOT,United States,USA,..,..,..,..,..
Reunion,REU,Total,TOT,United States,USA,15,34,464,39,918
Romania,ROU,Total,TOT,United States,USA,88406,83757,69349,101256,140085
Russian Federation,RUS,Total,TOT,United States,USA,51871,39825,18215,19930,22327
Rwanda,RWA,Total,TOT,United States,USA,19,42,152,457,1130
Saint Helena,SHN,Total,TOT,United States,USA,18,41,459,139,1095
Saint Pierre and Miquelon,SPM,Total,TOT,United States,USA,0,0,0,0,0
Samoa,WSM,Total,TOT,United States,USA,805,647,15272,12955,17467
San Marino,SMR,Total,TOT,United States,USA,481,3,1354,397,5
Sao Tome and Principe,STP,Total,TOT,United States,USA,2,5,0,72,136
Saudi Arabia,SAU,Total,TOT,United States,USA,1011,814,18993,18847,27946
Senegal,SEN,Total,TOT,United States,USA,116,344,948,2786,10262
Serbia,SRB,Total,TOT,United States,USA,..,..,..,..,..
Serbia and Montenegro,SCG,Total,TOT,United States,USA,74605,78381,72483,64402,64520
Seychelles,SYC,Total,TOT,United States,USA,43,97,646,748,2572
Sierra Leone,SLE,Total,TOT,United States,USA,334,801,2486,8260,22044
Singapore,SGP,Total,TOT,United States,USA,370,287,6709,15341,24386
Slovak Republic,SVK,Total,TOT,United States,USA,43844,35150,1,0,16575
Slovenia,SVN,Total,TOT,United States,USA,3888,4085,3777,3356,2202
Solomon Islands,SLB,Total,TOT,United States,USA,3,9,2,56,360
Somalia,SOM,Total,TOT,United States,USA,124,1014,1515,2477,36762
South Africa,ZAF,Total,TOT,United States,USA,5724,12349,23096,42299,68041
Spain,ESP,Total,TOT,United States,USA,47232,68175,97039,110958,119977
Sri Lanka,LKA,Total,TOT,United States,USA,343,266,6209,14865,26040
St. Kitts and Nevis,KNA,Total,TOT,United States,USA,2311,54,2224,8124,11101
St. Lucia,LCA,Total,TOT,United States,USA,2679,63,1818,8099,14151
St. Vincent and the Grenadines,VCT,Total,TOT,United States,USA,4252,99,4106,13060,22249
Sudan,SDN,Total,TOT,United States,USA,302,692,3430,6309,18652
Suriname,SUR,Total,TOT,United States,USA,7,75,1598,3248,48
Swaziland,SWZ,Total,TOT,United States,USA,46,104,1043,461,2759
Sweden,SWE,Total,TOT,United States,USA,223726,150445,86323,61169,55584
Switzerland,CHE,Total,TOT,United States,USA,64313,58898,49072,45950,51605
Syrian Arab Republic,SYR,Total,TOT,United States,USA,17521,19371,24145,40501,55753
"Taiwan, China",TWN,Total,TOT,United States,USA,4914,3743,87355,271828,337316
Tajikistan,TJK,Total,TOT,United States,USA,4527,3907,6335,1744,1927
Tanzania,TZA,Total,TOT,United States,USA,380,579,4480,7798,11818
Thailand,THA,Total,TOT,United States,USA,3672,2886,67362,127144,186520
Timor-Leste,TLS,Total,TOT,United States,USA,13,11,258,0,19
Togo,TGO,Total,TOT,United States,USA,51,115,877,787,3064
Tokelau,TKL,Total,TOT,United States,USA,2,6,1,38,246
Tonga,TON,Total,TOT,United States,USA,699,597,7489,11374,16694
Trinidad and Tobago,TTO,Total,TOT,United States,USA,42888,25338,75872,126874,207679
Tunisia,TUN,Total,TOT,United States,USA,284,636,4349,4844,16956
Turkey,TUR,Total,TOT,United States,USA,54645,61669,64788,68124,93670
Turkmenistan,TKM,Total,TOT,United States,USA,403,344,463,155,172
Turks and Caicos Islands,TCA,Total,TOT,United States,USA,111,3,415,615,314
Tuvalu,TUV,Total,TOT,United States,USA,4,12,3,74,479
Uganda,UGA,Total,TOT,United States,USA,434,630,5008,9015,12270
Ukraine,UKR,Total,TOT,United States,USA,381955,293268,190645,146724,444101
United Arab Emirates,ARE,Total,TOT,United States,USA,43,32,757,2308,0
United Kingdom,GBR,Total,TOT,United States,USA,870668,812912,797768,809113,833858
United States,USA,Total,TOT,United States,USA,0,0,0,0,0
Uruguay,URY,Total,TOT,United States,USA,1283,6579,15685,24694,25507
Uzbekistan,UZB,Total,TOT,United States,USA,24536,20164,8716,9447,33632
Vanuatu,VUT,Total,TOT,United States,USA,5,12,3,76,492
"Venezuela, RB",VEN,Total,TOT,United States,USA,7287,14645,41821,54323,118195
Vietnam,VNM,Total,TOT,United States,USA,14419,11234,262190,583889,1028454
Virgin Islands (U.S.),VIR,Total,TOT,United States,USA,14977,50288,45969,8933,78966
"Virgin Islands, British",VGB,Total,TOT,United States,USA,356,8,1138,1971,1008
Wallis and Futuna,WLF,Total,TOT,United States,USA,0,0,0,0,0
West Bank and Gaza,PSE,Total,TOT,United States,USA,31,0,11,21189,0
"Yemen, Rep.",YEM,Total,TOT,United States,USA,184,145,3385,6218,19762
Zambia,ZMB,Total,TOT,United States,USA,181,405,1952,3886,10804
Zimbabwe,ZWE,Total,TOT,United States,USA,331,552,4795,5923,12203
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: Global Bilateral Migration,,,,,,,,,,
Last Updated: 06/28/2011,,,,,,,,,,
